title,article,file_links,url,type
[FUJINET] Tuyển dụng FRESHER DEVELOPERS (JAVA/.NET) (Web/ Winform),"
Địa điểm làm việc: Số 10 Phổ Quang, Phường 2, Quận Tân Bình, HCM Số lượng: 10 LTV Mô tả công việc:Tham gia vào các dự án phát triển phần mềm outsource cho khách hàng (Nhật Bản)Tham gia lập trình, kiểm thử sản phẩm theo từng dự án của khách hàng (Nhật Bản)Sẽ được đào tạo thêm trong quá trình thử việc Yêu cầu ứng viên:Tốt nghiệp các trường Đại học, Cao đẳng các ngành liên quan đến CNTT,…Lập trình với Java Web như:        Java Core, JSP Servlet, Struts, Spring MVC, Spring Boot, ...Lập trình với .NET (Web) như:          ASP.NET, MVC, Entity Framework, LINQ, ...Lập trình với .NET (Winform) như:        C# .NET, VB.NET, ...Đã làm việc với:  HTML, CSS, Javascript, JQuery, Bootstrap,...Đã từng làm với ít nhất một Database: SQL Server, MySQL, Oracle...Đọc hiểu nhanh tài liệu tiếng Anh chuyên ngành.Nhanh nhẹn, ham học hỏi, tinh thần trách nhiệm cao, trung thực, cẩn thận.Ứng viên có kiến thức sau là một lợi thế:        Angular, React, Vue.js , Jquery        Framework của ngôn ngữ JAVA        Sử dụng được tool quản lý source code: Git, SVN,.. Quyền lợi được hưởng:Tham gia khóa đào tạo dành cho nhân viên mới làm quen với môi trường làm việc cũng như trang bị kỹ năng cần thiết cho công việc.Tham gia miễn phí  các khóa đào tạo kỹ năng mềm, đào tạo chuyên sâu về kiến thức chuyên ngành cũng như các buổi giới thiệu công nghệ mới tại công ty.Tăng lương 6 tháng/lầnLương tháng 13, thưởng các ngày lễ, sinh nhật,…Phụ cấp đi lại (phụ thuộc vào khoảng cách từ nhà đến công ty).Khám sức khỏe 1 năm / lần, Du lịch Công ty 1 năm 1 lần.Được học Tiếng Nhật miễn phí (N5 – N1) trong giờ hành chính, nhận phụ cấp khi có Bằng.Thời gian thử việc tối đa 2 tháng.Thời gian làm việc : 5 ngày / tuần (giờ bắt đầu làm việc linh động từ 7:00-9:00)Thời gian làm việc tại nhà (WFH) linh động hơn 50 ngày/năm Vui lòng gửi cv có đính kèm ảnh gửi về: tuyendung@fujinet.netTại tiêu đề (Subject) của mail: [HCM-UNG TUYEN LAP TRINH VIEN] ---------------------*** ---------------------Công ty Cổ phần FUJINET SYSTEMS (FUJINET) là công ty IT Việt Nam chuyên phát triển phần mềm cho các công ty Nhật Bản. Đến nay, đã trải qua hơn hai thập kỷ xây dựng và phát triển thương hiệu có thể nói FUJINET là một trong những cái nôi đào tạo ra các kỹ sư làm offshore cho Nhật Bản. Bởi thực tế các cán bộ quản lý đã dành nhiều thời gian học tập, nghiên cứu thị trường CNTT, văn hóa của đất nước được mệnh danh là cường quốc công nghệ; Đội ngũ kỹ sư tự tin đối ứng những dự án có quy mô lớn, những dự án đòi hỏi kỹ thuật cao hoặc những dự án yêu cầu kết hợp giữa công nghệ hiện đại và truyền thống.5 năm liền được bình chọn Top 10 Doanh nghiệp CNTT hàng đầu tại Việt Nam; 4 năm liền được vinh danh tại giải thưởng Sao Khuê trong lĩnh vực xuất khẩu phần mềm do VINASA bình chọn cùng những bằng khen đã đóng góp cho đất nước là minh chứng cho sự phát triển ngày càng mạnh mẽ của FUJINET.Quy mô: 800 nhân viênĐịa điểm:TRỤ SỞ CHÍNH: Tòa nhà Waseco, số 10 Phổ Quang, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh.FUJINET QUY NHƠN: Tòa nhà Phú Tài Building, 278 Nguyễn Thị Định, TP Quy Nhơn, Tỉnh Bình ĐịnhFUJINET JAPAN: Kyobashi Isasu building, 1-6-12 Kyobashi, Chuo-ku, Tokyo, 104-0031, Japan
",[],https://www.fit.hcmus.edu.vn/tin-tuc/d/fujinet-tuyen-dung-fresher-developers-java-net-web-winform-16292,recruitment
Golden Owl Solutions Tuyển dụng Thực tập sinh Full-stack JS T8/2024,"
BENEFITSAllowance: 3.000.000 - 6.000.000 VND/month + Parking allowance;Team-building, Tea break monthly;On-job training; English training;Opportunity to be promoted to a full-time position after an internship. REQUIREMENTS4th-year students in Computer Science, Software Engineering, IT or related major;Personal laptop is required;Can work full-time at GO office;15 months working after internship commitment;4-month internship commitment;Strong background knowledge of HTML, CSS, Javascript;Have knowledge about at least one of the below (for Full-stack JS intern): Javascript core, NodeJS, React JS or React Native;Good command of English is a plus;Knowledge about: Git, SQL is a big plus;JOB DESCRIPTIONWork under coaching of team leader or mentors;Practice coding with high quality and effective outputs;Estimate tasks;Implement tasks, follow quality guidelines and time plan or the project;Report task progress everyday;Help other team members (PC and QC, team lead, other engineers);APPLY: Send your CV with title [Position] - Full Name via mail: trainer@goldenowl.asiaOnly short-list candidates who meet our above mandatory requirements will be contacted.
",['https://www.fit.hcmus.edu.vn/vn/UserFiles\\7754__JD_-Full-stack-JS-Intern.docx'],https://www.fit.hcmus.edu.vn/tin-tuc/d/golden-owl-solutions-tuyen-dung-thuc-tap-sinh-full-stack-js-t8-2024,recruitment
[Lihuhu] Quality Assurance (Vietnamese) - ver May2024,"
MOBILE GAMES - QUALITY ASSURANCEVề Lihuhu Vietnam Co LtdLihuhu Vietnam Co Ltd là chi nhánh tại Việt Nam của công ty mẹ có trụ sở tại Singapore.Lihuhu chuyên phát triển các sản phẩm game thuộc thể loại Casual trên thiết bị di động tại các thị trường Châu Âu và Mỹ và đã có hơn 60 sản phẩm game và hơn 150 triệu lượt tải. Với một đội ngũ nhân viên năng động, nhiệt huyết, Lihuhu không ngừng tham vọng tạo ra các sản phẩm games thành công.Quy mô công ty: 50 ngườiTổng quan công việcVới vai trò Mobile Games Quality Assurance (QA), bạn sẽ:Phân tích, đánh giá các yêu cầu, chức năng của trò chơi.Tạo, quản lý và thực thi kế hoạch kiểm thử trò chơi.Tham gia thiết kế, góp ý xây dựng trò chơi nhằm mang lại trải nghiệm tốt nhất cho người chơi.Phân tích kết quả kiểm tra, gửi báo cáo lỗi, xác định mức độ nghiêm trọng và mức độ ưu tiên cho từng lỗi.Làm việc chặt chẽ với Product Owner, Developer, và Artist và các bộ phận khác để đảm bảo chất lượng của trò chơi tốt nhấtChủ động giám sát tiến độ thử nghiệm để đảm bảo tuân thủ các mốc thời gian đã đặt ra.Duy trì kiến thức cập nhật về các công cụ, kỹ thuật và phương pháp thử nghiệm QA mới nhất.Tham gia thiết kế, xây dựng, và cải tiến các tiêu chuẩn và quy trình QA, đảm bảo sự thống nhất và chất lượng của các trò chơi trong quá trình thử nghiệm và phát hành.Yêu cầu công việcKiên nhẫn, tỉ mỉ, cẩn thận.Tinh thần trách nhiệm cao.Khả năng học hỏi và thích ứng nhanh.Kỹ năng giải quyết vấn đề tốt.Khả năng quản lý bản thân tốt, có thể làm việc độc lập và làm việc nhóm.Kinh nghiệm quản lý đội nhóm là lợi thế.Tốt nghiệp ngành Công Nghệ Thông Tin là lợi thế.Có kinh nghiệm làm việc ở vai trò QA tại công ty Games là một lợi thếĐiều Kiện Làm Việc:Làm việc tại văn phòng công ty.Thiết bị: iMac hoặc Macbook + Extra screenGiờ làm việc: 7 tiếng/ ngày từ thứ Hai đến thứ Sáu. Không làm ngoài giờ.Các Phúc lợi Của Công Ty:Lương tháng 13.Nghỉ phép có lương: 12 ngày/năm, mỗi năm thâm niên tăng thêm 1 ngày nghỉ.Nghỉ ốm có lương: 3 ngày/năm.Có Bảo hiểm sức khỏe và khám sức khỏe định kỳ hàng năm cho nhân viên chính thức.Company Trip trong và ngoài nước 1 hoặc 2 lần/năm tùy thuộc vào tình hình kinh doanh.Có phụ cấp (ăn trưa và đời sống sức khỏe tinh thần).Snacks và đồ uống miễn phí hàng ngày.Có cơ hội học hỏi và tiếp cận công nghệ tiên tiến.Môi trường làm việc chuyên nghiệp, cởi mở, khuyến khích tự phát triển và làm việc trên tinh thần tự do, trách nhiệm, không quản lý tiểu tiết.Gửi hồ sơ của bạn tới: careers@lihuhuvietnam.com
",[],https://www.fit.hcmus.edu.vn/tin-tuc/d/lihuhu-quality-assurance-vietnamese-ver-may2024,recruitment
BOUYGUES CONSTRUCTION IT VIETNAM -  Hiring Network/ System Interns for IT Supervision Level 1,"
Bouygues Construction IT Vietnam is a part
of Bouygues Construction IT, a trusted partner for the business
lines which provides competitiveness of the Bouygues Construction Group and
promotes its digital transformation.As an IT Supervision Level 1, you will work with our amazing
teams in Vietnam and Morocco to ensure the system operation of Bouygues
Construction Group.Internship information:
Program
     length: 6 months
Training
     hour: Monday – Friday, 08:45 AM – 06:15 PM
Location:
     Etown building, 364 Cong Hoa, Ward 13, Tan Binh District, HCMC
Allowance:
     6,600,000 VND Gross/ month
Your key responsibilities will be:
Perform
     applications daily check before business hours of headquarter.
Escalate
     issues to appropriate level 2.
Generate
     and provide regular SCOM reporting.
Perform
     regular backup incidents following procedures.
Follow
     up procedures and propose improvements if needed.
End-users
     support.
Network
     checks (POM).
Weekly
     report to manager.
JOB REQUIREMENTS
Graduated
     with bachelor in either Information Technology, Computer Science or
     related degree and have good background in IT.
Fluent
     in English. French is a big plus.
Experience/
     Solid knowledge in the installation and administration of Microsoft System
     Center Operations Manager is appreciable.
Experience/
     Solid knowledge in Server Administrator on Windows Server is a big plus.
Experience
     with ITSM ticketing system.
Available
     to work at night shift.
General Skills
Motivated,
     eager to learn.
Good
     communication.
Strict
     and methodic.
Well-organized.
Cares
     about delivery quality.
Team
     spirit and autonomy.
OUR BENEFITSProfessional, Open-minded and Creative Environment:
International
     workplace with great teamwork and Agile mindset.
Strong
     sharing culture to improve individual development.
Individual Development
Individual
     career and development plan.
Various
     knowledge sharing and training in online internal learning hub.
Special Care for You
Competitive
     allowance on internship period.
Compulsory
     insurance and additional medical insurance.
1
     leave day/ month.
Parking
     fee.
Internal
     company activities.Apply your CV to us via: hr.bycnitvn@bouygues-construction.com or call: +84 352 434 305.
",['https://www.fit.hcmus.edu.vn/vn/UserFiles\\7775_HR-RE-JD24.04_System_IT-Supervision-Level-1.pdf'],https://www.fit.hcmus.edu.vn/tin-tuc/d/bouygues-construction-it-vietnam-hiring-network-system-interns-for-it-supervision-level-1,recruitment
"[Q2, Q.Bình Thạnh] Golden Owl Solutions Tuyển dụng Thực Tập Sinh IT T8/2024","
Kì thực tập đang đến gần, còn chờ gì nữa mà không nhanh tay ứng tuyển các vị trí thực tập IT tại GOS nữa các bạn sinh viên ơi!Hiện tại, Golden Owl Solutions đang cần:- 2 bạn Ruby on Rails Intern - JD- 2 bạn Full-stack JS Intern - JD- 2 bạn Python Intern - JD- 2 bạn PHP Intern - JD- 1 bạn AI/ML Intern - JDVới tinh thần đồng hành cùng các bạn để phát triển, GOS tự hào đem đến cho các bạn những phúc lợi như sau:Cơ hội trở thành nhân viên chính thức.Phụ cấp thực tập kèm theo nhiều phúc lợi hấp dẫn khác.Môi trường làm việc chuyên nghiệp, năng động.Có cơ hội phát triển bản thân ở các kỹ năng Tiếng Anh, Kỹ năng mềm.Có mentor 1-1 theo dõi sát sao, giúp đỡ nhiệt tình. Có giáo trình đào tạo chi tiết, cụ thể phù hợp cho từng bạn.Các bạn nhanh tay apply để nhận việc ngay nha!ℹ️ Thông tin cụ thể về chương trình thực tập tại Golden Owl Solutions: https://goldenowl.asia/internship🌐 Việc làm tại GO: https://goldenowl.asia/careers📩 Gửi CV về: trainer@goldenowl.asia theo tiêu đề [FIT - Vị trí ứng tuyển] - Họ tên.📲 Liên hệ số điện thoại: 028.6270.5825 nếu cần trao đổi thêm thông tin.
",[],https://www.fit.hcmus.edu.vn/tin-tuc/d/q2-qbinh-thanh-golden-owl-solutions-tuyen-dung-thuc-tap-sinh-it-t8-2024,recruitment
Danh sách môn mở trong Học phần 3 lớp cao học khóa 33/2023,"
THÔNG BÁODanh sách môn mở trong Học phần 3 lớp cao học khóa 33/2023Thời gian học: từ ngày 27/7 đến 06/10/2024 (11 tuần).










STT
Mã MH
Tên môn học
Số TC
GV giảng dạy
Ngành
Ngày học
Hình thức thi
Ghi chú


1
MTH076
Xử
  lý tiếng nói
4
PGS.TS.
  Đinh Điền
    TS. Nguyễn Đức Hoàng Hạ
    TS. Châu Thành Đức
Khoa
  học
    máy tính
thứ
  ba (18g00)
vấn
  đáp
 


2
MTH021
Hệ
  thống Multimedia
4
PGS.
  TS Trần Minh Triết
chủ
  nhật (8g00)
vấn
  đáp + đồ án
 


1
MTH113
Mô hình ngôn ngữ lớn
4
TS. Nguyễn Tiến Huy
Trí
  tuệ
    nhân tạo 
thứ 5 (18g30)
trắc nghiệm + đồ án
 


2
MTH101
Sinh - Tin học
4
TS. Bùi Duy Đăng
    TS. Bùi Thị Danh
thứ 7 (13g30)
trắc nghiệm + tự luận
Học
  online


1
MTH041
Hệ hỗ trợ ra quyết định
4
TS. Vũ Thị Mỹ Hằng
Hệ thống
  thông tin
thứ 3 (18g00)
Vấn
  đáp
 


2
MTH045
Khoa học phân tích dữ liệu
4
TS. Nguyễn Trần Minh Thư
thứ 7 (8g00)
Đồ
  án, Vấn đáp
(bắt
  đầu từ 24/8/2024)

Ghi chú: Các học viên theo học Ngành Khoa học máy tính, Trí tuệ nhân tạo có thể đăng ký học các môn của ngành Hệ thống thông tin để tích lũy môn tự chọn và ngược lại.  Đối với môn Khai thác dữ liệu lớn: học viên chỉ đăng ký khi chưa học môn ""Khai thác dữ liệu và ứng dụng"" ở bậc đại học, nếu học viên đã học ở bậc đại học vui lòng đăng ký môn khác thay thế.Danh sách môn mở dự kiến Học phần 4:Ngành Khoa học máy tính: Công nghệ chuỗi khối; Xử lý ảnh số và video số nâng caoNgành Trí tuệ nhân tạo: Học máy với dữ liệu đồ thị, Explainable AINgành Hệ thống thông tin: Khai thác ngữ liệu văn bản nâng cao; Các mô hình phân tích dữ liệu; Công nghệ mới phát triển hệ thống thông tin.-----BP. Giáo Vụ SĐH, Khoa CNTTEmail: giaovusdh@fit.hcmus.edu.vnWebsite: https://www.fit.hcmus.edu.vn/sau-dai-hocFacebook: https://www.facebook.com/sdh.fit.hcmus/
",[],https://www.fit.hcmus.edu.vn/tin-tuc/d/danh-sach-mon-mo-trong-hoc-phan-3-lop-cao-hoc-khoa-33-2023,timetable
Thời khóa biểu có phòng các lớp Học phần 3 Khóa 33/2023 - bắt đầu học 22/7/2024,"
THÔNG BÁOThời khóa biểu có phòng các lớp Học phần 3 Khóa 33/2023Thời gian học: 22/7 đến 06/10/2024 (11 tuần). ﻿Trong đó nghỉ lễ 02/9 và 03/9/2024; thi kết thúc học phần: 14/10 đến 27/10/2024.










STT
Mã MH
Tên môn học
Số TC
GV giảng dạy Ngành
Ngày học
Phòng học
Hình thức thi


1
MTH076
Xử lý tiếng nói
4
PGS.TS.
  Đinh Điền
    TS. Nguyễn Đức Hoàng Hạ
    TS. Châu Thành Đức
Khoa học
  máy tính
Thứ 3 (18g00)
C32B
Vấn
  đáp


2
MTH021
Hệ
  thống Multimedia
4
PGS.TS.
  Trần Minh Triết
Chủ nhật (8g00) bắt đầu học ngày 04/8/2024
I32
vấn
  đáp đồ án


1
MTH041
Hệ
  hỗ trợ ra quyết định
4
TS.
  Vũ Thị Mỹ Hằng
Hệ thống
  thông tin
Thứ 3 (18g00) Bắt đầu học 30/7/2024 
I92
tự luận


2
MTH045
Khoa học phân tích dữ
  liệu
4
TS.
  Nguyễn Trần Minh Thư
Thứ
  7 (8g00)
    Bắt đầu ngày 24/8/2024
F109
đồ
  án, vấn đáp


1
MTH113
Mô
  hình ngôn ngữ lớn
4
TS.
  Nguyễn Tiến Huy
Trí tuệ
  nhân tạo
Thứ
  5 (18g30) Bắt đầu ngày 01/8/2024
C33
    Ngày 25/7/2024: học ở Hội trường I
trắc nghiệm, đồ án


2
MTH101
Sinh
  - Tin học
4
TS.
  Bùi Duy Đăng
    TS. Bùi Thị Danh
Thứ
  7 (13g30)
online
tự luận, trắc nghiệm

-----BP. Giáo Vụ SĐH, Khoa CNTTEmail: giaovusdh@fit.hcmus.edu.vnWebsite: https://www.fit.hcmus.edu.vn/sau-dai-hocFacebook: https://www.facebook.com/sdh.fit.hcmus/
",[],https://www.fit.hcmus.edu.vn/tin-tuc/d/thoi-khoa-bieu-co-phong-cac-lop-hoc-phan-3-khoa-33-2023-bat-dau-hoc-22-7-2024,timetable
Đổi phòng lớp Xử lý ngôn ngữ tự nhiên nâng cao - HP2-K33 từ 24/4/2024,"
THÔNG BÁOLớp Xử lý ngôn ngữ tự nhiên nâng cao - Học phần 2, khóa 33/2023, lịch học Thứ 4 (18g00) sẽ chuyển sang học học C22 từ 24/4/2024 đến khi kết thúc học phần.-----BP. Giáo Vụ SĐH, Khoa CNTTEmail: giaovusdh@fit.hcmus.edu.vnWebsite: https://www.fit.hcmus.edu.vn/sau-dai-hocFacebook: https://www.facebook.com/sdh.fit.hcmus/
",[],https://www.fit.hcmus.edu.vn/tin-tuc/d/doi-phong-lop-xu-ly-ngon-ngu-tu-nhien-nang-cao-hp2-k33-tu-24-4-2024,timetable
Thời khóa biểu lý thuyết và thực hành lớp 22HCB-HK2,"
Thông báoThời khóa biểu LT+TH HK2/2022-2023 lớp 22HCB(HK2), sinh viên xem chi tiết trong file đính kèm.Thời gian bắt đầu: 04/05/2023Giáo vụ KCNTT
","['https://www.fit.hcmus.edu.vn/vn/UserFiles\\7238_TKB-thuc-hanh-22HCB-HK2.pdf', 'https://www.fit.hcmus.edu.vn/vn/UserFiles\\7239_TKB-2022_2023_HK2_Lien-thong_22HCB_HK2.pdf']",https://www.fit.hcmus.edu.vn/tin-tuc/d/thoi-khoa-bieu-ly-thuyet-va-thuc-hanh-lop-22hcb-hk2,timetable
Thời khóa biểu có phòng các lớp Học phần 2 Khóa 33/2023,"
THÔNG BÁOThời khóa biểu có phòng các lớp Học phần 2 Khóa 33/2023Thời gian học: 15/4 - 30/6/2024 (11 tuần) 










STT
Mã MH
Tên môn học
GV giảng dạy
Chuyên ngành
Ngày học
Phòng học
Hình thức thi
Hình thức thi


1
MTH063
Phân tích dữ liệu
  thông minh
TS. Bùi Tiến Lên
Khoa học
  máy tính
Thứ 7 (13g30)
C22
vấn
  đáp
Môn chung ĐH-ThS


2
MTH020
Xử
  lý ngôn ngữ tự nhiên nâng cao
PGS.TS.
  Đinh Điền
    TS. Nguyễn Hồng Bửu Long
Thứ 4 (18g00)
I41
Vấn
  đáp +  Đồ án
Môn chung ĐH-ThS


3
MTH079
Học
  sâu
TS.
  Nguyễn Tiến Huy
Thứ 5 (18g30)
Hội
  trường I
đồ
  án
Môn chung ĐH-ThS


4
MTH055
Khai
  thác dữ liệu lớn
GS.TS.
  Lê Hoài Bắc
Thứ 6 (18g00)
I23
Đồ
  án
Môn chung ĐH-ThS


1
MTH078
Các
  hệ thống tư vấn
PGS.TS.
  Lê Nguyễn Hoài Nam
Hệ thống
  thông tin
Chủ nhật (13g30)
F109
Viết 
 


2
MTH075
Quản trị dự án hệ
  thống thông tin
PGS.TS.
  Nguyễn Văn Vũ
Thứ 7 (8g30)
B11B
Vấn
  đáp
 


3
MTH099
Phân
  tích và thiết kế hệ thống thông tin nâng cao
TS.
  Phạm Nguyễn Cương
Thứ 5 (18g00)
I92
    Ngày 09/5/2024: phòng I42
Vấn
  đáp
Môn chung ĐH-ThS


1
MTH064
Học
  máy ứng dụng
PGS.TS.
  Lê Hoàng Thái
Trí tuệ
  nhân tạo
Chủ
  nhật (14g00)
I42
đồ án
 


2
MNC
Phương
  pháp nghiên cứu khoa học
PGS.TS.
  Vũ Hải Quân
Chủ
  nhật (8g30)
I34
vấn đáp
Môn chung ĐH-ThS


3
MTH085
Thị
  giác máy tính nâng cao
PGS.TS.
  Lý Quốc Ngọc
Thứ
  7 (8g30)
C22
Viết 
Môn chung ĐH-ThS


4
MTH055
Khai
  thác dữ liệu lớn
GS.TS.
  Lê Hoài Bắc
Thứ
  6 (18g00)
I23
đồ án
Môn chung ĐH-ThS

-----BP. Giáo Vụ SĐH, Khoa CNTTEmail: giaovusdh@fit.hcmus.edu.vnWebsite: https://www.fit.hcmus.edu.vn/sau-dai-hocFacebook: https://www.facebook.com/sdh.fit.hcmus/
",[],https://www.fit.hcmus.edu.vn/tin-tuc/d/thoi-khoa-bieu-co-phong-cac-lop-hoc-phan-2-khoa-33-2023,timetable
